timestamp,x,y,event_type,speed,acceleration
1747104104527,1053,1305,move,1.52,0.14
1747104104530,1057,1322,move,7.44,3.17
1747104104538,1063,1336,move,1.78,0.21
1747104104544,1069,1353,move,3.06,0.52
1747104104553,1080,1368,move,2.12,0.24
1747104104561,1090,1382,move,2.04,0.24
1747104104568,1108,1398,move,3.55,0.52
1747104104575,1125,1413,move,3.31,0.48
1747104104581,1148,1429,move,4.2,0.63
1747104104589,1180,1444,move,5.0,0.71
1747104104597,1215,1457,move,4.4,0.52
1747104104605,1249,1470,move,4.85,0.65
1747104104613,1289,1484,move,5.11,0.62
1747104104621,1316,1491,move,3.43,0.42
1747104104625,1346,1498,move,7.62,1.88
1747104104633,1373,1500,move,3.33,0.41
1747104104641,1400,1505,move,3.42,0.43
1747104104649,1427,1509,move,3.37,0.42
1747104104658,1457,1516,move,3.64,0.43
1747104104666,1482,1523,move,3.1,0.37
1747104104670,1510,1532,move,6.92,1.63
1747104104679,1534,1541,move,3.02,0.36
1747104104687,1556,1550,move,2.96,0.37
1747104104696,1578,1557,move,2.66,0.31
1747104104704,1595,1563,move,2.22,0.27
1747104104712,1609,1569,move,1.73,0.2
1747104104718,1618,1573,move,1.88,0.36
1747104104726,1624,1574,move,0.71,0.08
1747104104734,1627,1576,move,0.45,0.06
1747104104763,1627,1577,move,0.03,0.0
1747104104772,1627,1577,move,0.0,0.0
1747104104776,1626,1578,move,0.35,0.09
1747104104784,1625,1579,move,0.17,0.02
1747104104795,1622,1580,move,0.3,0.03
1747104104801,1620,1580,move,0.32,0.05
1747104104809,1617,1582,move,0.47,0.06
1747104104817,1611,1583,move,0.73,0.09
1747104104825,1600,1585,move,1.4,0.17
1747104104833,1586,1585,move,1.74,0.22
1747104104838,1557,1585,move,6.18,1.32
1747104104845,1521,1585,move,4.79,0.64
1747104104854,1461,1585,move,6.75,0.76
1747104104862,1384,1582,move,9.69,1.22
1747104104868,1311,1576,move,11.67,1.86
1747104104875,1240,1572,move,10.65,1.6
1747104104884,1173,1565,move,7.9,0.93
1747104104892,1116,1559,move,7.16,0.9
1747104104896,1064,1553,move,13.07,3.26
1747104104905,1025,1550,move,4.34,0.48
1747104104912,995,1548,move,4.29,0.61
1747104104920,971,1546,move,3.01,0.38
1747104104927,958,1546,move,1.74,0.23
1747104104935,950,1546,move,1.0,0.12
1747104104943,945,1545,move,0.64,0.08
1747104104951,944,1545,move,0.13,0.02
1747104104958,943,1545,move,0.14,0.02
1747104104964,943,1546,move,0.2,0.04
1747104104972,944,1547,move,0.16,0.02
1747104104982,948,1550,move,0.52,0.05
1747104104988,959,1555,move,1.94,0.31
1747104104996,971,1563,move,1.81,0.23
